UpOctUL,UpOctDL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ULMeanNL,MaxTxPower,TransRateMean,RSRP,RSRQ,Label
27761.3,217220,16,238,218,-89,343,248,-91,-12,3
47539.9,380489,14,213,193,-119,330,272,-88,-12,2
4538.06,67851.8,11,162,19,-90,238,229,-93,-13,4
4030.96,32808.5,5,79,77,-125,196,214,-96,-13,1
14986.3,117983,11,193,184,-109,188,212,-95,-13,1
3140.84,46931.4,10,154,22,-94,227,208,-96,-14,4
42328.9,343706,9,130,125,-115,135,122,-113,-16,1
45115.1,366936,13,184,175,-121,227,208,-97,-13,0
7722.91,116169,11,173,5,-89,219,201,-98,-14,4
11450.7,93479.6,14,213,203,-123,265,187,-101,-14,0
45365.8,358087,9,126,115,-103,148,154,-107,-15,1
14999.8,121015,14,212,198,-124,347,214,-95,-13,2
9822.31,80094.7,7,110,106,-116,159,190,-100,-14,1
2332.86,34936,8,122,28,-93,217,185,-101,-14,4
58499.5,468249,12,193,184,-89,344,263,-86,-12,3
4792.38,38078.8,8,118,111,-142,170,177,-103,-14,1
67310.2,533088,15,248,237,-90,301,254,-89,-12,3
23878.5,187800,13,169,159,-137,337,267,-89,-12,2
50690.6,406782,10,157,145,-131,225,240,-91,-13,0
55144.2,431726,13,183,175,-109,325,271,-88,-12,2
3433.36,27211,12,170,162,-123,216,250,-92,-13,0
8058.92,120451,9,121,55,-107,223,252,-90,-13,4
8211.91,65228,14,201,193,-106,347,240,-91,-13,2
26076.1,215084,11,160,145,-93,324,228,-97,-13,3
17801.8,139573,8,100,93,-126,150,167,-106,-15,1
16307.5,128414,11,149,142,-120,309,257,-93,-13,2
76565.1,624315,16,226,211,-89,320,228,-93,-13,3
47496.6,384243,11,164,153,-90,331,295,-86,-12,3
48907,391502,10,155,151,-113,163,160,-106,-15,1
16982.9,256152,12,176,64,-89,236,194,-99,-14,4
5715.71,45706.8,7,107,105,-114,231,171,-105,-14,0
34589,281032,10,138,137,-120,177,198,-100,-14,1
7263.64,58171.5,14,208,189,-114,349,221,-96,-13,2
5662.16,85450.8,10,147,46,-100,263,190,-100,-14,4
11626.1,92382,10,151,143,-110,254,246,-91,-13,0
19035.3,154251,11,155,141,-126,261,241,-90,-13,0
12103.7,96416.4,13,192,183,-93,326,249,-92,-13,3
32486.4,257031,6,98,96,-132,163,203,-101,-14,1
2425.51,36592.2,9,143,58,-106,240,251,-90,-13,4
8059.9,64143.4,14,209,204,-100,354,257,-89,-12,3
24960.1,372978,10,152,39,-94,253,246,-93,-13,4
34608,275612,13,201,194,-109,346,231,-92,-13,2
26947.8,213022,10,143,135,-131,167,238,-94,-13,1
22954.6,181910,12,177,163,-111,340,257,-89,-12,2
13789,110989,10,140,139,-130,318,248,-91,-12,2
15552.7,123333,14,223,220,-86,330,240,-90,-12,3
53771.2,426319,11,168,163,-90,316,236,-94,-13,3
28909.9,227458,13,199,196,-111,318,264,-89,-12,2
7767.18,116731,10,172,33,-101,252,195,-100,-14,4
6419.77,51254.4,11,160,151,-114,327,219,-95,-13,2
29587.5,235433,12,183,172,-136,239,194,-99,-14,0
42129.5,329967,9,138,131,-132,233,226,-95,-13,0
20249.2,161679,6,81,81,-115,157,225,-95,-13,1
10911.4,87302.8,12,176,169,-113,248,223,-93,-13,0
54534.8,434762,9,143,143,-130,245,219,-95,-13,0
2152.64,17318.3,8,114,113,-127,147,208,-96,-13,1
14994.9,120316,13,184,175,-90,334,256,-87,-12,3
3937.58,31761.1,13,199,191,-92,335,231,-89,-13,3
45184.2,367120,8,105,100,-112,227,214,-99,-14,0
24476.5,363219,10,139,19,-102,240,195,-99,-14,4
22422,179895,8,114,111,-125,131,171,-105,-15,1
16325.9,131385,11,155,153,-100,346,276,-89,-12,3
40331.6,329566,9,144,142,-115,231,278,-88,-12,0
60305.8,476739,15,230,230,-110,313,250,-90,-13,2
1612.24,24022.1,10,153,44,-94,247,211,-93,-13,4
65327.1,532940,13,197,187,-122,319,263,-90,-13,2
7150.92,58132.1,7,96,92,-123,130,120,-112,-16,1
7368.77,58371,13,172,156,-123,263,217,-97,-13,0
3023.57,45584,10,159,32,-105,228,230,-94,-13,4
45520.6,365514,12,173,171,-123,314,208,-95,-13,2
19330.6,155304,12,180,168,-104,225,237,-93,-13,0
68548.1,549280,13,194,186,-88,357,250,-86,-12,3
29698.2,242220,6,86,80,-122,147,226,-94,-13,1
55615.6,446700,17,249,229,-119,316,268,-87,-12,2
63919.2,511339,12,199,190,-114,136,171,-104,-15,1
17629.7,137870,12,200,182,-91,336,239,-92,-13,3
27673.5,224150,9,124,114,-108,118,141,-109,-15,1
20329.2,161580,6,89,84,-107,146,170,-106,-15,1
1473.39,22157.5,10,160,38,-98,249,200,-99,-14,4
5688.53,85399,14,210,101,-98,228,223,-94,-13,4
42128.7,340185,13,204,190,-130,314,257,-89,-12,2
71295.8,569787,15,203,188,-135,320,219,-95,-13,2
36699.3,296841,15,200,194,-91,330,247,-92,-13,3
36103.5,291718,14,214,211,-95,316,231,-91,-13,3
12163.5,95729.6,14,210,191,-93,334,241,-90,-13,3
58286.6,454734,14,234,225,-107,354,232,-93,-13,2
57247.1,461871,11,164,150,-90,315,244,-91,-13,3
9578.94,76736,11,161,152,-127,238,188,-101,-14,0
40276.8,601265,14,208,90,-95,234,221,-93,-13,4
22571.9,178227,10,163,150,-134,238,245,-92,-13,0
15720.7,128168,12,187,175,-92,321,245,-90,-12,3
19354.5,289212,9,119,25,-92,243,252,-93,-13,4
3003.23,45104.4,10,151,63,-101,231,227,-91,-13,4
34553.9,273634,9,126,117,-112,139,171,-105,-15,1
3695.87,29894.1,12,163,161,-110,250,237,-93,-13,0
51362.3,418570,15,243,230,-93,349,248,-91,-13,3
42991.2,341576,12,193,189,-93,339,246,-91,-13,3
35066.2,281012,7,112,103,-113,145,158,-105,-14,1
27679.6,223097,13,195,192,-120,314,234,-94,-13,2
42323.4,629386,13,195,50,-99,209,234,-95,-13,4
2742.02,41350.3,9,130,45,-88,212,222,-96,-13,4
12070.8,98882.9,15,199,191,-129,354,223,-95,-13,2
23969.8,361266,9,116,32,-101,213,154,-105,-15,4
8597.97,129218,12,167,0,-95,240,228,-95,-13,4
31121.9,253156,10,156,152,-114,345,232,-92,-13,2
7851.82,62394.8,9,135,129,-119,243,163,-105,-15,0
31295.7,468385,11,158,32,-83,246,252,-90,-13,4
13958.2,109893,13,201,184,-85,349,273,-89,-12,3
8424.61,125912,12,166,11,-97,260,242,-92,-13,4
8520.74,67498.6,10,143,140,-99,347,244,-89,-12,3
17387.7,141491,13,193,188,-94,341,243,-91,-13,3
15419.2,123139,11,185,170,-115,236,246,-92,-13,0
22414.9,180812,10,151,148,-91,344,258,-89,-12,3
58330.5,469492,11,148,139,-125,338,234,-92,-13,2
49272.1,386661,12,171,160,-96,321,242,-91,-13,3
27240.9,211415,12,190,173,-112,350,221,-93,-13,3
33033.4,262428,8,113,108,-117,122,193,-102,-14,1
53695.7,433544,12,168,161,-88,366,247,-89,-13,3
35182.3,283885,10,156,142,-105,147,113,-116,-16,1
15909.5,127132,11,169,155,-88,334,247,-88,-12,3
13597.7,106640,10,138,127,-113,338,191,-99,-14,2
21969.1,173155,6,97,96,-117,133,151,-108,-15,1
9783.93,147526,13,189,38,-90,267,204,-98,-14,4
6022.63,48760.5,7,121,114,-146,161,194,-101,-14,1
19997.3,298158,12,192,29,-93,218,240,-91,-13,4
57806.9,456714,11,151,139,-91,341,238,-92,-13,3
7721.9,61158.2,9,130,129,-110,155,196,-99,-14,1
12133,96914.2,15,238,231,-118,334,260,-89,-12,2
17186.2,135816,12,205,198,-128,321,243,-90,-12,2
9109.09,135994,7,101,38,-93,249,264,-88,-12,4
35036.3,276898,7,107,99,-108,174,175,-102,-14,1
19422.2,152398,8,121,109,-113,154,193,-101,-14,1
44268.5,352465,9,126,115,-117,161,187,-101,-14,1
5839.13,86591.9,11,161,68,-97,224,198,-101,-14,4
38802.5,311239,11,186,177,-112,239,196,-100,-14,0
17262.2,262911,11,184,63,-100,242,216,-96,-13,4
7166.27,107315,12,190,33,-92,222,195,-98,-14,4
4629.95,37553.7,8,124,120,-117,260,227,-93,-13,0
46454.7,378732,12,176,159,-118,240,199,-102,-14,0
23424.7,184648,13,179,171,-101,339,241,-90,-13,3
9034.67,72136.2,17,243,230,-87,326,232,-91,-13,3
5851.58,47881.5,10,156,145,-122,217,186,-103,-14,0
7093.46,57425.2,8,107,104,-109,233,256,-88,-12,0
53334.9,425386,13,189,189,-121,333,271,-87,-12,2
2888.69,23375.5,10,137,127,-115,150,178,-102,-14,1
19318.4,153497,14,183,168,-86,310,259,-88,-12,3
5232.83,78580.6,9,134,46,-97,253,258,-92,-13,4
5213.64,78698.3,8,112,38,-92,261,258,-90,-13,4
9331.32,75306.9,6,91,88,-111,134,154,-109,-15,1
11585.1,93340.9,8,104,99,-127,179,219,-95,-13,1
6196.86,50083.4,11,154,151,-92,326,274,-89,-12,3
7123.53,105572,8,120,13,-90,247,243,-92,-13,4
60666.9,480880,13,176,167,-126,235,172,-102,-14,0
25724.8,209264,13,192,182,-117,343,270,-88,-12,2
12424.9,96533,11,152,150,-110,335,223,-92,-13,2
8043.92,64141.9,10,151,145,-114,321,233,-93,-13,2
83215.4,675636,15,202,198,-116,340,249,-92,-13,2
4234.79,63695.9,10,164,65,-93,235,236,-91,-13,4
78601.3,615068,14,227,218,-92,323,218,-94,-13,3
35890.8,286450,7,102,96,-114,229,181,-103,-14,0
48722.5,386566,9,139,126,-112,146,207,-97,-14,1
74803,587364,15,266,244,-89,326,255,-90,-12,3
49725,401338,10,154,139,-91,329,251,-87,-12,3
8664.87,70121.8,16,245,228,-120,311,276,-87,-12,2
24934.3,369248,9,141,65,-86,255,230,-94,-13,4
31394.3,250403,9,134,130,-127,151,196,-101,-14,1
48817.3,386850,13,183,167,-105,215,204,-98,-14,0
43358.4,344443,14,213,204,-84,325,227,-93,-13,3
11126.6,88413.4,13,207,193,-91,317,249,-87,-12,3
2566.24,20276.1,8,124,115,-121,160,212,-97,-13,1
8396.39,67356.1,10,152,152,-96,342,255,-90,-13,3
23008.8,181869,8,115,105,-139,163,158,-106,-15,1
2468.95,36907.8,9,138,33,-96,266,225,-95,-13,4
18039,144057,12,188,175,-114,283,260,-86,-12,2
6854.23,55616,13,192,184,-117,277,224,-96,-13,0
16880,136390,9,140,129,-125,149,85,-117,-16,1
9639.19,76927.1,11,155,146,-133,194,204,-100,-14,0
10137,81507.1,7,107,105,-124,110,-4,-136,-19,1
7161.92,57298.8,8,119,116,-107,146,194,-97,-13,1
38808.2,309606,11,164,151,-135,351,262,-86,-12,2
30645,455752,14,224,95,-86,246,241,-92,-13,4
38414.4,307767,7,104,99,-118,148,223,-93,-13,1
16932.8,133399,14,220,208,-116,315,239,-88,-12,2
61729.3,502198,11,164,162,-89,325,279,-86,-12,3
38943.4,312026,13,194,188,-94,335,206,-93,-13,3
31000,250267,10,166,154,-112,314,260,-91,-12,2
40469.7,323844,10,155,146,-90,332,227,-93,-13,3
18086.8,143586,6,80,77,-114,164,180,-102,-14,1
67022.8,529304,14,214,213,-121,338,251,-90,-13,2
19651.6,156736,8,118,116,-117,150,166,-105,-15,1
16002.9,129023,11,163,158,-91,335,259,-88,-12,3
10116.1,79258.8,12,183,180,-89,327,247,-90,-13,3
7953.77,63133.5,9,128,127,-134,252,203,-98,-14,0
39094.3,583071,12,200,51,-102,228,226,-97,-14,4
19824.8,159776,12,165,162,-126,311,222,-94,-13,2
29878.6,234426,8,134,132,-113,144,194,-103,-15,1
59837.3,476200,14,211,200,-110,345,276,-88,-12,2
4188.08,34495.1,15,228,216,-87,319,225,-93,-13,3
15504.9,123947,14,220,201,-93,324,242,-91,-12,3
5697.87,45938.8,10,150,145,-131,251,244,-90,-13,0
29496.8,440736,12,172,25,-93,234,236,-93,-13,4
1408.43,20846.5,9,134,14,-96,221,190,-102,-14,4
9105.01,73433.9,11,168,167,-112,341,250,-90,-12,2
3011.51,24120.3,12,181,168,-116,234,231,-93,-13,0
2953.37,23513.7,11,167,160,-117,142,147,-108,-15,1
3334.76,27309.1,6,98,89,-108,259,232,-94,-13,0
26415.5,211356,6,93,88,-106,121,92,-119,-17,1
12704.6,99705.7,11,177,172,-91,344,230,-93,-13,3
28128.1,224394,9,122,120,-113,158,150,-107,-15,1
42244.5,331960,8,114,109,-116,251,189,-98,-14,0
2729.79,21796.8,9,128,120,-126,157,174,-104,-14,1
15360.9,124292,13,197,183,-111,337,209,-97,-14,3
35918.6,286575,7,111,103,-122,244,212,-98,-14,0
14448.8,115041,13,173,169,-125,245,206,-97,-13,0
35896.4,289068,7,92,90,-112,153,224,-93,-13,1
12608.3,101295,15,217,216,-91,305,262,-88,-12,3
12167.3,94342.7,7,97,91,-116,149,192,-97,-14,1
15666.1,126280,13,211,198,-108,313,254,-89,-12,3
4575.56,36833.1,8,124,117,-130,237,255,-89,-13,0
45187.4,361132,10,150,137,-137,335,268,-89,-12,2
45894.4,366039,9,124,116,-108,244,231,-90,-13,0
14479.2,116116,12,184,168,-89,337,244,-90,-13,3
22767.5,186920,8,114,105,-120,256,236,-92,-13,0
3258.11,49495.1,10,143,15,-104,251,268,-88,-12,4
24784.7,373825,12,169,52,-101,217,192,-100,-14,4
7120.32,56750.4,13,180,178,-89,324,235,-93,-13,3
29377.6,440118,11,171,2,-103,246,238,-93,-13,4
68966.8,561984,12,175,169,-128,349,239,-91,-12,2
23106.2,188079,14,199,185,-133,359,248,-91,-13,2
12687.2,100831,9,128,127,-118,255,208,-98,-14,0
11107.3,89119.6,10,131,130,-124,340,246,-94,-13,2
55210.3,451318,13,195,183,-90,334,230,-95,-13,3
8470.84,66972.4,10,164,160,-111,234,247,-90,-12,0
31661.7,254684,8,119,113,-141,229,239,-95,-13,0
12695.7,101262,9,124,116,-137,158,204,-98,-13,1
3840.33,30506.7,13,186,180,-111,318,251,-88,-12,2
56190.1,444254,14,203,195,-121,331,255,-89,-12,2
6252.51,50327.3,8,113,102,-122,219,241,-94,-13,0
1657.54,25094.6,12,194,12,-88,254,238,-92,-13,4
34650.5,274942,15,223,213,-139,330,243,-91,-12,2
35651.5,538034,13,204,10,-86,241,243,-91,-13,4
5653.81,45114.9,10,134,128,-132,333,217,-94,-13,2
30733.9,241626,6,80,79,-112,150,211,-98,-13,1
15062.1,120796,7,109,108,-140,147,219,-97,-13,1
20374.3,164415,12,193,177,-109,319,228,-94,-13,2
20780.3,311896,11,157,15,-90,242,232,-95,-13,4
12805.8,102554,11,161,156,-113,269,228,-95,-13,0
34705.6,278704,7,110,108,-123,163,201,-100,-14,1
58123,465803,9,137,131,-91,345,250,-87,-12,3
19827.7,298883,10,141,39,-91,223,197,-98,-14,4
3080.1,24948.1,12,169,157,-83,322,269,-88,-12,3
41653,332408,11,170,170,-115,266,240,-91,-13,0
71973.1,580821,13,190,179,-116,321,255,-89,-12,2
7210.24,57591.1,5,71,68,-107,122,229,-94,-13,1
11786.3,94857,13,185,170,-117,314,235,-93,-13,2
55800.9,450559,13,190,183,-138,314,241,-90,-13,2
13166.5,103443,12,170,166,-86,321,248,-93,-13,3
21014.9,167315,14,207,206,-89,331,237,-91,-12,3
2154.31,17114.3,8,124,122,-113,252,200,-99,-14,0
12577.6,101100,10,141,128,-112,260,228,-93,-13,0
32310.9,261387,15,232,211,-111,335,268,-89,-12,2
15877.2,128309,14,222,222,-90,307,232,-96,-13,3
4409.44,34675.1,8,134,132,-110,256,215,-96,-14,0
18245.5,145748,13,198,186,-124,303,245,-91,-13,2
35256.7,284461,13,179,165,-125,335,260,-87,-12,2
19059.9,289026,9,147,56,-97,259,253,-92,-13,4
24843.7,370674,9,139,52,-91,215,202,-99,-14,4
41389.6,328663,8,109,107,-112,110,81,-120,-17,1
18019.2,144507,7,96,89,-112,162,227,-94,-13,1
11975.3,95116.4,14,235,227,-121,343,258,-88,-12,2
33483.9,271103,15,222,208,-88,307,241,-90,-12,3
2671.47,21381.6,9,152,141,-119,254,262,-88,-12,0
3521.22,27716.1,12,191,176,-92,322,275,-86,-12,3
40668.3,330096,14,202,183,-113,332,257,-89,-12,2
54562.7,443065,16,254,246,-107,316,270,-89,-12,2
61705.7,496395,14,215,210,-115,327,273,-85,-12,2
44691,362641,12,161,148,-119,245,221,-95,-13,0
9373.41,75930,11,177,163,-89,316,247,-90,-13,3
17939.9,143581,13,198,190,-85,335,227,-92,-13,3
40663.1,331175,8,130,121,-112,157,135,-111,-16,1
22064.1,330775,9,124,38,-93,226,200,-97,-14,4
22047.1,331626,8,119,38,-98,250,209,-99,-14,4
2253.84,17846.3,8,107,105,-130,158,181,-102,-14,1
30382.6,242855,9,123,118,-142,172,143,-109,-15,1
32036.6,252121,11,151,145,-134,319,221,-96,-13,2
35824.2,282482,14,223,201,-85,338,240,-94,-13,3
86674.1,679768,14,205,191,-87,305,247,-88,-12,3
54154.2,432573,10,143,143,-135,144,197,-100,-14,1
20904.4,311755,11,171,53,-97,227,224,-94,-13,4
3051.97,24162.1,5,70,68,-126,134,225,-94,-13,1
13467.9,203465,12,179,27,-87,259,238,-90,-12,4
7920.43,62840.7,9,126,119,-140,261,239,-92,-13,0
39103.5,321096,9,138,135,-110,158,203,-97,-14,1
7157.34,106834,9,133,19,-95,239,229,-94,-13,4
81691.4,642017,15,224,202,-95,325,247,-92,-13,3
48222.9,382869,10,155,151,-126,166,193,-101,-14,1
13190.3,104289,10,168,156,-92,341,234,-92,-13,3
35979.4,287222,6,92,88,-115,141,151,-108,-15,1
44246.7,361311,11,174,167,-113,338,247,-90,-13,2
7809.78,63258.5,7,103,93,-112,159,173,-104,-14,1
24596.8,197125,7,106,105,-115,148,134,-111,-15,1
11017.2,88313.6,14,210,197,-95,347,250,-89,-13,3
62772.9,502039,11,174,167,-113,140,155,-108,-15,1
55588.9,437507,12,167,160,-93,309,222,-91,-13,3
48411.2,381021,10,151,149,-89,346,265,-88,-12,3
2031.31,30471.8,12,178,55,-94,241,235,-93,-13,4
